QuestionType,Question,QuestionID,Answer
radio,UIST is an amazing conference,q1,
radio,VR is a beautiful research tool,q2,
radio,Happiness is the key to success,q3,
radio,Debugging is awesome,q1,6
radio,I like fixing bugs,q2,6
radio,I would use the VRQuestionnaireToolkit,q3,6
radioGrid,Hololens_The system was easy to use,q1,5
radioGrid,Oculus Rift_The system was easy to use,,5
radioGrid,Vive_The system was easy to use,,5
radioGrid,Magic Leap_The system was easy to use,,5
radioGrid,Hololens_The system was easy to use,q1,6
radioGrid,Oculus Rift_The system was easy to use,,6
radioGrid,Vive_The system was easy to use,,6
radioGrid,Magic Leap_The system was easy to use,,6
checkbox, If you don’t use VR frequently; what is keeping you from adopting this?,q1,5
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,s1,0
linearSlider,Physical Demand:				How physically demanding was the task?,s1,6
linearSlider,Mental Demand:				How mentally demanding was the task?,s1,10
linearGrid,Mental Demand:				How mentally demanding was the task?,s1,17
linearGrid,Physical Demand:				How physically demanding was the task?,s2,17
linearGrid,Temporal Demand:		    How hurried or rushed was the pace of the task?,s3,17
dropdown,Demanding,d1,0
dropdown,Mental,d2,0
dropdown,Physical,d3,0

